id,stockout_days,lost_units,total_demand,fill_rate,avg_on_hand
FOODS_1_065_CA_1_evaluation,0,0.0,5.0,1.0,3.3015235557295375
FOODS_1_066_CA_1_evaluation,2,1.138938644454722,62.0,0.9816300218636335,8.73805259046738
FOODS_1_067_CA_1_evaluation,5,18.96588841211522,133.0,0.857399335247254,13.86810729610583
FOODS_1_068_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_1_069_CA_1_evaluation,1,0.8647391994841485,20.0,0.9567630400257926,5.951858629068857
FOODS_1_070_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_1_071_CA_1_evaluation,4,4.133974903031177,19.0,0.7824223735246749,5.292375965583761
FOODS_1_072_CA_1_evaluation,0,0.0,9.0,1.0,3.38241075174158
FOODS_1_073_CA_1_evaluation,0,0.0,13.0,1.0,4.564202709586586
FOODS_1_074_CA_1_evaluation,2,6.582472456595632,86.0,0.9234596225977252,10.491717086124705
FOODS_1_075_CA_1_evaluation,0,0.0,26.0,1.0,11.036469829479994
FOODS_1_076_CA_1_evaluation,0,0.0,20.0,1.0,4.6403139892690115
FOODS_1_077_CA_1_evaluation,0,0.0,6.0,1.0,3.323632159414258
FOODS_1_078_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_1_079_CA_1_evaluation,0,0.0,3.0,1.0,1.9044871814055766
FOODS_1_080_CA_1_evaluation,0,0.0,27.0,1.0,7.6161569588389755
FOODS_1_081_CA_1_evaluation,2,6.020951304380006,39.0,0.8456166332210255,6.448572236000713
FOODS_1_082_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_1_083_CA_1_evaluation,3,9.289197352825255,38.0,0.755547438083546,8.497387699666772
FOODS_1_084_CA_1_evaluation,0,0.0,3.0,1.0,1.6991248367517808
FOODS_1_085_CA_1_evaluation,0,0.0,279.0,1.0,21.407471749911448
FOODS_1_086_CA_1_evaluation,4,8.169884484327468,172.0,0.9525006716027473,18.194015208182982
FOODS_1_087_CA_1_evaluation,0,0.0,13.0,1.0,6.7565666150720745
FOODS_1_088_CA_1_evaluation,0,0.0,0.0,1.0,10.054989010617307
FOODS_1_089_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_1_090_CA_1_evaluation,1,1.5196507650184365,12.0,0.8733624362484637,7.860261926236171
FOODS_1_091_CA_1_evaluation,1,1.7401127540071357,36.0,0.9516635346109129,4.909201148780364
FOODS_1_092_CA_1_evaluation,0,0.0,34.0,1.0,10.338816191484051
FOODS_1_093_CA_1_evaluation,0,0.0,18.0,1.0,4.401634782395016
FOODS_1_094_CA_1_evaluation,0,0.0,17.0,1.0,5.590212805708122
FOODS_1_095_CA_1_evaluation,0,0.0,5.0,1.0,3.4107386566579545
FOODS_1_096_CA_1_evaluation,0,0.0,4.0,1.0,2.81428242653494
FOODS_1_097_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_1_098_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_1_099_CA_1_evaluation,0,0.0,0.0,1.0,0.03277220780806201
FOODS_1_101_CA_1_evaluation,0,0.0,11.0,1.0,4.6901550086895165
FOODS_1_102_CA_1_evaluation,0,0.0,25.0,1.0,4.000816212039572
FOODS_1_103_CA_1_evaluation,0,0.0,22.0,1.0,8.969203537094396
FOODS_1_104_CA_1_evaluation,0,0.0,46.0,1.0,10.244455294576543
